project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc
apache/groovy,Logistic Regression,0.36437908496732024,0.6904024767801857,0.4770053475935829,0.764372026218515
apache/groovy,Random Forest,0.6744186046511628,0.2693498452012384,0.38495575221238937,0.7921649489488336
apache/groovy,XGBoost,0.4489795918367347,0.6130030959752322,0.518324607329843,0.795830160899442
apache/activemq,Logistic Regression,0.4081145584725537,0.608540925266904,0.48857142857142855,0.7316387053041857
apache/activemq,Random Forest,0.671875,0.30604982206405695,0.42053789731051344,0.7856766273136381
apache/activemq,XGBoost,0.4931506849315068,0.6405693950177936,0.5572755417956656,0.7863036396844225
apache/camel,Logistic Regression,0.244794952681388,0.6298701298701299,0.35256701499318494,0.7178110975416021
apache/camel,Random Forest,0.6226415094339622,0.16071428571428573,0.25548387096774194,0.7808594629122152
apache/camel,XGBoost,0.3014586709886548,0.6038961038961039,0.40216216216216216,0.7813505302037411
apache/hbase,Logistic Regression,0.6306429548563611,0.6097883597883598,0.6200403496973773,0.7203008925231146
apache/hbase,Random Forest,0.7207977207977208,0.6693121693121693,0.6941015089163237,0.8074742130297685
apache/hbase,XGBoost,0.6973848069738481,0.7407407407407407,0.718409236690186,0.8273782801560579
apache/zookeeper,Logistic Regression,0.6172839506172839,0.7352941176470589,0.6711409395973155,0.7633823529411765
apache/zookeeper,Random Forest,0.7101449275362319,0.7205882352941176,0.7153284671532847,0.8181617647058824
apache/zookeeper,XGBoost,0.68,0.75,0.7132867132867133,0.8022058823529412
apache/hive,Logistic Regression,0.8032544378698225,0.642603550295858,0.7140039447731755,0.7650955327702245
apache/hive,Random Forest,0.7771618625277162,0.829585798816568,0.8025186033199772,0.8152445909932697
apache/hive,XGBoost,0.8115577889447236,0.7644970414201183,0.7873248019500305,0.818986855774877
apache/cassandra,Logistic Regression,0.5845070422535211,0.666131621187801,0.622655663915979,0.7550759059316872
apache/cassandra,Random Forest,0.7064393939393939,0.5987158908507223,0.6481320590790617,0.8055382774929327
apache/cassandra,XGBoost,0.6318051575931232,0.7078651685393258,0.6676760030280091,0.817226025163576
apache/hadoop-hdfs,Logistic Regression,0.9110512129380054,0.7595505617977528,0.8284313725490197,0.8390715984581318
apache/hadoop-hdfs,Random Forest,0.9025974025974026,0.9370786516853933,0.9195148842337376,0.9379480029525137
apache/hadoop-hdfs,XGBoost,0.9529411764705882,0.9101123595505618,0.9310344827586207,0.944033461822357
apache/hadoop-mapreduce,Logistic Regression,0.8387096774193549,0.7738095238095238,0.804953560371517,0.8132670594010801
apache/hadoop-mapreduce,Random Forest,0.8409090909090909,0.8809523809523809,0.8604651162790697,0.9030436917034855
apache/hadoop-mapreduce,XGBoost,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9019391261659303
apache/flink,Logistic Regression,0.46540880503144655,0.6583629893238434,0.5453205600589536,0.7842399021101981
apache/flink,Random Forest,0.6900584795321637,0.4199288256227758,0.5221238938053098,0.8332814311777418
apache/flink,XGBoost,0.5463215258855586,0.7135231316725978,0.6188271604938271,0.8407268037417617
apache/spark,Logistic Regression,0.6640625,0.6746031746031746,0.6692913385826772,0.7828628457370973
apache/spark,Random Forest,0.6837606837606838,0.6349206349206349,0.6584362139917695,0.7893023476855812
apache/spark,XGBoost,0.6496350364963503,0.7063492063492064,0.6768060836501901,0.7898963976808288
apache/kafka,Logistic Regression,0.7027027027027027,0.6995515695067265,0.701123595505618,0.794322234384379
apache/kafka,Random Forest,0.7354260089686099,0.7354260089686099,0.7354260089686099,0.8313265774513612
apache/kafka,XGBoost,0.7238493723849372,0.7757847533632287,0.7489177489177489,0.8350870378870803
apache/zeppelin,Logistic Regression,0.5986842105263158,0.728,0.6570397111913358,0.7473253012048193
apache/zeppelin,Random Forest,0.7096774193548387,0.704,0.7068273092369478,0.7987951807228917
apache/zeppelin,XGBoost,0.6470588235294118,0.704,0.6743295019157088,0.7869397590361447
apache/ignite,Logistic Regression,0.486697965571205,0.6372950819672131,0.551907719609583,0.8116226946721312
apache/ignite,Random Forest,0.696969696969697,0.42418032786885246,0.5273885350318471,0.8446048924180328
apache/ignite,XGBoost,0.5301391035548686,0.7028688524590164,0.6044052863436123,0.8495261270491804
